what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.datatools.enablement.sybase.asa.models,1.0.0.v201107221507,"org.eclipse.datatools.enablement.sybase.asa.models",1408300239863
started,bundle,org.eclipse.datatools.enablement.sybase.models,1.0.0.v201010140307,"org.eclipse.datatools.enablement.sybase.models",1408300239886
started,bundle,org.eclipse.datatools.enablement.mysql,1.0.2.v201109022323,"org.eclipse.datatools.enablement.mysql",1408300239917
started,bundle,org.eclipse.datatools.enablement.sap.maxdb,1.0.0.v201107221507,"org.eclipse.datatools.enablement.sap.maxdb",1408300239982
started,bundle,org.eclipse.datatools.modelbase.dbdefinition,1.0.2.v201107221519,"org.eclipse.datatools.modelbase.dbdefinition",1408300240432
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408300240629
started,bundle,org.eclipse.datatools.enablement.sybase.ase.ui,1.0.1.v200906020900,"org.eclipse.datatools.enablement.sybase.ase.ui",1408300241013
started,bundle,org.eclipse.datatools.enablement.sybase.ase.models,1.0.1.v201010140307,"org.eclipse.datatools.enablement.sybase.ase.models",1408300241034
started,bundle,org.eclipse.datatools.enablement.sybase.asa.ui,1.0.1.v200906111204,"org.eclipse.datatools.enablement.sybase.asa.ui",1408300241040
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408300244482
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408300252178
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408300252975
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408300255601
activated,view,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.ui.jpaDetailsView",1408300255629
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408300257251
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408300259259
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1408300261002
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408300267194
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.505.v201202020200,"org.eclipse.jst.j2ee.ejb",1408300268621
started,bundle,org.eclipse.jst.j2ee.jca,1.1.501.v201111030500,"org.eclipse.jst.j2ee.jca",1408300268638
started,bundle,org.eclipse.jst.jee,1.0.402.v201202021530,"org.eclipse.jst.jee",1408300268657
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1408300268670
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1408300268679
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408300279501
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408300287071
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408300289055
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408300289306
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1408300289402
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408300289584
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408300294686
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408300319340
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408300322583
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408300322698
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1408300325384
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408300330895
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408300334047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408300337631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408300352115
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1408300354485
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408300356785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408300366115
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408300369890
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408300370021
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1408300371518
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408300378218
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408300380835
